tweet,tweet_cleaning,tweet_casefolding,normalisasi,tokenize,stopword removal,steming_data
"Menteri Pendidikan Dasar dan Menengah, Abdul Mu'ti, menanggapi temuan Institute for Development of Economics and Finance (Indef) yang menunjukkan sekitar 4.000 siswa yang dilaporkan menjadi korban keracunan Makan Bergizi Gratis (MBG) dalam delapan bulan terakhir. 

""Bahwa ada berbagai peristiwa, sebagian anak-anak keracunan, mudah-mudahan bisa menjadi bahan evaluasi,"" ujar Mu'ti pada Jumat (5/9/2025). 

Menurut Mu'ti, MBG akan tetap berjalan sesuai arahan Presiden Prabowo dan bakal disempurnakan juga ditingkatkan secara bertahap.",Menteri Pendidikan Dasar dan Menengah Abdul Muti menanggapi temuan Institute for Development of Economics and Finance Indef yang menunjukkan sekitar 4000 siswa yang dilaporkan menjadi korban keracunan Makan Bergizi Gratis MBG dalam delapan bulan terakhir Bahwa ada berbagai peristiwa sebagian anakanak keracunan mudahmudahan bisa menjadi bahan evaluasi ujar Muti pada Jumat 592025 Menurut Muti MBG akan tetap berjalan sesuai arahan Presiden Prabowo dan bakal disempurnakan juga ditingkatkan secara bertahap,menteri didik dasar tengah abdul muti tanggap temu institute for development of economics and finance indef 4000 siswa lapor korban racun makan gizi gratis mbg delapan peristiwa anakanak racun mudahmudahan bahan evaluasi muti jumat 592025 muti mbg jalan sesuai arah presiden prabowo sempurna tingkat tahap,menteri didik dasar tengah abdul muti tanggap temu institute for development of economics and finance indef 4000 siswa lapor korban racun makan gizi gratis mbak delapan peristiwa anakanak racun mudahmudahan bahan evaluasi muti jumat 592025 muti mbak jalan sesuai arah presiden prabowo sempurna tingkat tahap,"['menteri', 'didik', 'dasar', 'tengah', 'abdul', 'muti', 'tanggap', 'temu', 'institute', 'for', 'development', 'of', 'economics', 'and', 'finance', 'indef', '4000', 'siswa', 'lapor', 'korban', 'racun', 'makan', 'gizi', 'gratis', 'mbak', 'delapan', 'peristiwa', 'anakanak', 'racun', 'mudahmudahan', 'bahan', 'evaluasi', 'muti', 'jumat', '592025', 'muti', 'mbak', 'jalan', 'sesuai', 'arah', 'presiden', 'prabowo', 'sempurna', 'tingkat', 'tahap']","['menteri', 'didik', 'dasar', 'abdul', 'muti', 'tanggap', 'temu', 'institute', 'for', 'development', 'of', 'economics', 'and', 'finance', 'indef', '4000', 'siswa', 'lapor', 'korban', 'racun', 'makan', 'gizi', 'gratis', 'mbak', 'delapan', 'peristiwa', 'anakanak', 'racun', 'mudahmudahan', 'bahan', 'evaluasi', 'muti', 'jumat', '592025', 'muti', 'mbak', 'jalan', 'sesuai', 'arah', 'presiden', 'prabowo', 'sempurna', 'tingkat', 'tahap']",menteri didik dasar abdul muti tanggap temu institute for development of economics and finance indef 4000 siswa lapor korban racun makan gizi gratis mbak delapan peristiwa anakanak racun mudahmudahan bahan evaluasi muti jumat 592025 muti mbak jalan sesuai arah presiden prabowo sempurna tingkat tahap
"Kapolsek Tanah Putih Tanjung Melawan IPDA BONNI FERDY SAGALA,S.H.,M.H. monitoring makan bergizi gratis (MBG) di SMPN 1 Tanah Putih Tanjung Melawan bersama camat, korwil,  penghulu dan kepsek

#salampresisi #polisiindonesia #MBG #fyp #jangkauanluas #semuaorang #sorotan #pengikut",Kapolsek Tanah Putih Tanjung Melawan IPDA BONNI FERDY SAGALASHMH monitoring makan bergizi gratis MBG di SMPN 1 Tanah Putih Tanjung Melawan bersama camat korwil penghulu dan kepsek salampresisi polisiindonesia MBG fyp jangkauanluas semuaorang sorotan pengikut,kapolsek tanah putih tanjung lawan ipda bonni ferdy sagalashmh monitoring makan gizi gratis mbg smpn 1 tanah putih tanjung lawan camat korwil penghulu kepsek salampresisi polisiindonesia mbg fyp jangkauanluas semuaorang sorot ikut,kapolsek tanah putih tanjung lawan ipda bonni ferdy sagalashmh monitoring makan gizi gratis mbak smpn 1 tanah putih tanjung lawan camat korwil penghulu kepsek salampresisi polisiindonesia mbak fyp jangkauanluas semuaorang sorot ikut,"['kapolsek', 'tanah', 'putih', 'tanjung', 'lawan', 'ipda', 'bonni', 'ferdy', 'sagalashmh', 'monitoring', 'makan', 'gizi', 'gratis', 'mbak', 'smpn', '1', 'tanah', 'putih', 'tanjung', 'lawan', 'camat', 'korwil', 'penghulu', 'kepsek', 'salampresisi', 'polisiindonesia', 'mbak', 'fyp', 'jangkauanluas', 'semuaorang', 'sorot', 'ikut']","['kapolsek', 'tanah', 'putih', 'tanjung', 'lawan', 'ipda', 'bonni', 'ferdy', 'sagalashmh', 'monitoring', 'makan', 'gizi', 'gratis', 'mbak', 'smpn', '1', 'tanah', 'putih', 'tanjung', 'lawan', 'camat', 'korwil', 'penghulu', 'kepsek', 'salampresisi', 'polisiindonesia', 'mbak', 'fyp', 'jangkauanluas', 'semuaorang', 'sorot']",kapolsek tanah putih tanjung lawan ipda bonni ferdy sagalashmh monitoring makan gizi gratis mbak smpn 1 tanah putih tanjung lawan camat korwil penghulu kepsek salampresisi polisiindonesia mbak fyp jangkauanluas semuaorang sorot
"Kapolsek TPTM dan Forkopimcam Pantau Distribusi Makan Bergizi Gratis di SMPN 1

riauaktual.com/news/detail/1…

#salampresisi #polisiindonesia #MBG #fyp  #jangkauanluas #semuaorang #sorotan #pengikut",Kapolsek TPTM dan Forkopimcam Pantau Distribusi Makan Bergizi Gratis di SMPN 1 riauaktualcomnewsdetail1 salampresisi polisiindonesia MBG fyp jangkauanluas semuaorang sorotan pengikut,kapolsek tptm forkopimcam pantau distribusi makan gizi gratis smpn 1 riauaktualcomnewsdetail1 salampresisi polisiindonesia mbg fyp jangkauanluas semuaorang sorot ikut,kapolsek tptm forkopimcam pantau distribusi makan gizi gratis smpn 1 riauaktualcomnewsdetail1 salampresisi polisiindonesia mbak fyp jangkauanluas semuaorang sorot ikut,"['kapolsek', 'tptm', 'forkopimcam', 'pantau', 'distribusi', 'makan', 'gizi', 'gratis', 'smpn', '1', 'riauaktualcomnewsdetail1', 'salampresisi', 'polisiindonesia', 'mbak', 'fyp', 'jangkauanluas', 'semuaorang', 'sorot', 'ikut']","['kapolsek', 'tptm', 'forkopimcam', 'pantau', 'distribusi', 'makan', 'gizi', 'gratis', 'smpn', '1', 'riauaktualcomnewsdetail1', 'salampresisi', 'polisiindonesia', 'mbak', 'fyp', 'jangkauanluas', 'semuaorang', 'sorot']",kapolsek tptm forkopimcam pantau distribusi makan gizi gratis smpn 1 riauaktualcomnewsdetail1 salampresisi polisiindonesia mbak fyp jangkauanluas semuaorang sorot
"Kapolsek Tanah Putih Tanjung Melawan IPDA BONNI FERDY SAGALA,S.H.,M.H. monitoring makan bergizi gratis (MBG) di SMPN 1 Tanah Putih Tanjung Melawan bersama camat, korwil,  penghulu dan kepsek

#salampresisi #polisiindonesia #MBG #fyp  #jangkauanluas #semuaorang #sorotan #pengikut",Kapolsek Tanah Putih Tanjung Melawan IPDA BONNI FERDY SAGALASHMH monitoring makan bergizi gratis MBG di SMPN 1 Tanah Putih Tanjung Melawan bersama camat korwil penghulu dan kepsek salampresisi polisiindonesia MBG fyp jangkauanluas semuaorang sorotan pengikut,kapolsek tanah putih tanjung lawan ipda bonni ferdy sagalashmh monitoring makan gizi gratis mbg smpn 1 tanah putih tanjung lawan camat korwil penghulu kepsek salampresisi polisiindonesia mbg fyp jangkauanluas semuaorang sorot ikut,kapolsek tanah putih tanjung lawan ipda bonni ferdy sagalashmh monitoring makan gizi gratis mbak smpn 1 tanah putih tanjung lawan camat korwil penghulu kepsek salampresisi polisiindonesia mbak fyp jangkauanluas semuaorang sorot ikut,"['kapolsek', 'tanah', 'putih', 'tanjung', 'lawan', 'ipda', 'bonni', 'ferdy', 'sagalashmh', 'monitoring', 'makan', 'gizi', 'gratis', 'mbak', 'smpn', '1', 'tanah', 'putih', 'tanjung', 'lawan', 'camat', 'korwil', 'penghulu', 'kepsek', 'salampresisi', 'polisiindonesia', 'mbak', 'fyp', 'jangkauanluas', 'semuaorang', 'sorot', 'ikut']","['kapolsek', 'tanah', 'putih', 'tanjung', 'lawan', 'ipda', 'bonni', 'ferdy', 'sagalashmh', 'monitoring', 'makan', 'gizi', 'gratis', 'mbak', 'smpn', '1', 'tanah', 'putih', 'tanjung', 'lawan', 'camat', 'korwil', 'penghulu', 'kepsek', 'salampresisi', 'polisiindonesia', 'mbak', 'fyp', 'jangkauanluas', 'semuaorang', 'sorot']",kapolsek tanah putih tanjung lawan ipda bonni ferdy sagalashmh monitoring makan gizi gratis mbak smpn 1 tanah putih tanjung lawan camat korwil penghulu kepsek salampresisi polisiindonesia mbak fyp jangkauanluas semuaorang sorot
Prabowo-Gibran peduli rakyat dengan program makan bergizi gratis untuk semua #MakanBergiziGratis,PrabowoGibran peduli rakyat dengan program makan bergizi gratis untuk semua MakanBergiziGratis,prabowogibran peduli rakyat program makan gizi gratis makanbergizigratis,prabowogibran peduli rakyat program makan gizi gratis makanbergizigratis,"['prabowogibran', 'peduli', 'rakyat', 'program', 'makan', 'gizi', 'gratis', 'makanbergizigratis']","['prabowogibran', 'peduli', 'rakyat', 'program', 'makan', 'gizi', 'gratis', 'makanbergizigratis']",prabowogibran peduli rakyat program makan gizi gratis makanbergizigratis
"Makan bergizi gratis, komitmen Prabowo-Gibran ciptakan masa depan sehat #MakanBergiziGratis",Makan bergizi gratis komitmen PrabowoGibran ciptakan masa depan sehat MakanBergiziGratis,makan gizi gratis komitmen prabowogibran cipta sehat makanbergizigratis,makan gizi gratis komitmen prabowogibran cipta sehat makanbergizigratis,"['makan', 'gizi', 'gratis', 'komitmen', 'prabowogibran', 'cipta', 'sehat', 'makanbergizigratis']","['makan', 'gizi', 'gratis', 'komitmen', 'prabowogibran', 'cipta', 'sehat', 'makanbergizigratis']",makan gizi gratis komitmen prabowogibran cipta sehat makanbergizigratis
Prabowo-Gibran wujudkan bangsa kuat lewat program makan bergizi gratis #MakanBergiziGratis,PrabowoGibran wujudkan bangsa kuat lewat program makan bergizi gratis MakanBergiziGratis,prabowogibran wujud bangsa kuat program makan gizi gratis makanbergizigratis,prabowogibran wujud bangsa kuat program makan gizi gratis makanbergizigratis,"['prabowogibran', 'wujud', 'bangsa', 'kuat', 'program', 'makan', 'gizi', 'gratis', 'makanbergizigratis']","['prabowogibran', 'wujud', 'bangsa', 'kuat', 'program', 'makan', 'gizi', 'gratis', 'makanbergizigratis']",prabowogibran wujud bangsa kuat program makan gizi gratis makanbergizigratis
"Makan bergizi gratis Prabowo-Gibran, harapan baru anak Indonesia cerah #MakanBergiziGratis",Makan bergizi gratis PrabowoGibran harapan baru anak Indonesia cerah MakanBergiziGratis,makan gizi gratis prabowogibran harap anak indonesia cerah makanbergizigratis,makan gizi gratis prabowogibran harap anak indonesia cerah makanbergizigratis,"['makan', 'gizi', 'gratis', 'prabowogibran', 'harap', 'anak', 'indonesia', 'cerah', 'makanbergizigratis']","['makan', 'gizi', 'gratis', 'prabowogibran', 'harap', 'anak', 'indonesia', 'cerah', 'makanbergizigratis']",makan gizi gratis prabowogibran harap anak indonesia cerah makanbergizigratis
"Program makan bergizi gratis, bukti nyata perhatian Prabowo-Gibran pada rakyat #MakanBergiziGratis",Program makan bergizi gratis bukti nyata perhatian PrabowoGibran pada rakyat MakanBergiziGratis,program makan gizi gratis bukti nyata perhati prabowogibran rakyat makanbergizigratis,program makan gizi gratis bukti nyata perhati prabowogibran rakyat makanbergizigratis,"['program', 'makan', 'gizi', 'gratis', 'bukti', 'nyata', 'perhati', 'prabowogibran', 'rakyat', 'makanbergizigratis']","['program', 'makan', 'gizi', 'gratis', 'bukti', 'nyata', 'perhati', 'prabowogibran', 'rakyat', 'makanbergizigratis']",program makan gizi gratis bukti nyata perhati prabowogibran rakyat makanbergizigratis
Generasi emas 2045 dimulai dari makan bergizi gratis Prabowo-Gibran #MakanBergiziGratis,Generasi emas 2045 dimulai dari makan bergizi gratis PrabowoGibran MakanBergiziGratis,generasi emas 2045 makan gizi gratis prabowogibran makanbergizigratis,generasi emas 2045 makan gizi gratis prabowogibran makanbergizigratis,"['generasi', 'emas', '2045', 'makan', 'gizi', 'gratis', 'prabowogibran', 'makanbergizigratis']","['generasi', 'emas', '2045', 'makan', 'gizi', 'gratis', 'prabowogibran', 'makanbergizigratis']",generasi emas 2045 makan gizi gratis prabowogibran makanbergizigratis
