tweet,tweet_cleaning,tweet_casefolding,normalisasi,label,tokenize,stopword removal,steming_data
Terimakasih atas pengkhianatan ini Terimakasih atas antipati perjuangan kami Terimakasih atas tidak didengarnya aspirasi kami Saatnyaa ... <hashtag>,Terimakasih atas pengkhianatan ini Terimakasih atas antipati perjuangan kami Terimakasih atas tidak didengarnya aspirasi kami Saatnyaa hashtag,terimakasih khianat terimakasih antipati juang terimakasih dengar aspirasi saatnyaa hashtag,terimakasih khianat terimakasih antipati juang terimakasih dengar aspirasi saatnyaa hashtag,1,"['terimakasih', 'khianat', 'terimakasih', 'antipati', 'juang', 'terimakasih', 'dengar', 'aspirasi', 'saatnyaa', 'hashtag']","['terimakasih', 'khianat', 'terimakasih', 'antipati', 'juang', 'terimakasih', 'dengar', 'aspirasi', 'saatnyaa', 'hashtag']",terimakasih khianat terimakasih antipati juang terimakasih dengar aspirasi saatnyaa hashtag
Stlh Kerajaan Kerathon Sejagad kini ada lg SUNDA EMPIRE .Ketololan yang HQQ .??,Stlh Kerajaan Kerathon Sejagad kini ada lg SUNDA EMPIRE Ketololan yang HQQ,stlh raja kerathon sejagad lg sunda empire tolol hqq,setelah raja kerathon sejagad lagi sunda empire tolol hqq,1,"['setelah', 'raja', 'kerathon', 'sejagad', 'lagi', 'sunda', 'empire', 'tolol', 'hqq']","['raja', 'kerathon', 'sejagad', 'sunda', 'empire', 'tolol', 'hqq']",raja kerathon sejagad sunda empire tolol hqq
Horeeee......?????? Mantaaab ?? Kelakuan bejat Andre Dengan menjebak NN Bakal diseret ke meja hijau. Dukung NN dengan: <hashtag>,Horeeee Mantaaab Kelakuan bejat Andre Dengan menjebak NN Bakal diseret ke meja hijau Dukung NN dengan hashtag,horeeee mantaaab laku bejat andre jebak nn seret meja hijau dukung nn hashtag,horeeee mantaaab laku bejat andre jebak nn seret meja hijau dukung nn hashtag,1,"['horeeee', 'mantaaab', 'laku', 'bejat', 'andre', 'jebak', 'nn', 'seret', 'meja', 'hijau', 'dukung', 'nn', 'hashtag']","['horeeee', 'mantaaab', 'laku', 'bejat', 'andre', 'jebak', 'nn', 'seret', 'meja', 'hijau', 'dukung', 'nn', 'hashtag']",horeeee mantaaab laku bejat andre jebak nn seret meja hijau dukung nn hashtag
Partai Allah mah Bebas Sajadahpun boleh diinjak2 <hashtag>,Partai Allah mah Bebas Sajadahpun boleh diinjak2 hashtag,partai allah mah bebas sajadah diinjak2 hashtag,partai allah mah bebas sajadah diinjak2 hashtag,1,"['partai', 'allah', 'mah', 'bebas', 'sajadah', 'diinjak2', 'hashtag']","['partai', 'allah', 'mah', 'bebas', 'sajadah', 'diinjak2', 'hashtag']",partai allah mah bebas sajadah diinjak2 hashtag
Buat para pembenci Selamat anda dipimpin oleh orang yang anda benci kembali . Dan selamat menikmati ketidksukaannya ditunggu status-status nyalahin pemerintahnya . <hashtag> pic .twitter .com/n3GaTERfKC,Buat para pembenci Selamat anda dipimpin oleh orang yang anda benci kembali Dan selamat menikmati ketidksukaannya ditunggu statusstatus nyalahin pemerintahnya hashtag pic twitter comn3GaTERfKC,benci selamat pimpin orang benci selamat nikmat ketidksukaannya tunggu statusstatus nyalahin perintah hashtag pic twitter comn3gaterfkc,benci selamat pimpin orang benci selamat nikmat ketidksukaannya tunggu statusstatus menyalahkan perintah hashtag pic twitter comn3gaterfkc,1,"['benci', 'selamat', 'pimpin', 'orang', 'benci', 'selamat', 'nikmat', 'ketidksukaannya', 'tunggu', 'statusstatus', 'menyalahkan', 'perintah', 'hashtag', 'pic', 'twitter', 'comn3gaterfkc']","['benci', 'selamat', 'pimpin', 'orang', 'benci', 'selamat', 'nikmat', 'ketidksukaannya', 'tunggu', 'statusstatus', 'menyalahkan', 'perintah', 'hashtag', 'pic', 'twitter', 'comn3gaterfkc']",benci selamat pimpin orang benci selamat nikmat ketidksukaannya tunggu statusstatus salah perintah hashtag pic twitter comn3gaterfkc
Dokter bisa beli mobil tukang parkir hanya bisa jaga mobil,Dokter bisa beli mobil tukang parkir hanya bisa jaga mobil,dokter beli mobil tukang parkir jaga mobil,dokter beli mobil tukang parkir jaga mobil,1,"['dokter', 'beli', 'mobil', 'tukang', 'parkir', 'jaga', 'mobil']","['dokter', 'beli', 'mobil', 'tukang', 'parkir', 'jaga', 'mobil']",dokter beli mobil tukang parkir jaga mobil
Sekelas CEO data 2013 dibilang data 2016? Dan Padahal BL sudah dipromosikan sama presiden jokowi baru2 ini tapi balesannya tidak mencerminkan sikap CEO . :D,Sekelas CEO data 2013 dibilang data 2016 Dan Padahal BL sudah dipromosikan sama presiden jokowi baru2 ini tapi balesannya tidak mencerminkan sikap CEO D,kelas ceo data 2013 bilang data 2016 bl promosi presiden jokowi baru2 balesannya cermin sikap ceo d,kelas ceo data 2013 bilang data 2016 bl promosi presiden jokowi balesannya cermin sikap ceo di,1,"['kelas', 'ceo', 'data', '2013', 'bilang', 'data', '2016', 'bl', 'promosi', 'presiden', 'jokowi', 'balesannya', 'cermin', 'sikap', 'ceo', 'di']","['kelas', 'ceo', 'data', '2013', 'bilang', 'data', '2016', 'bl', 'promosi', 'presiden', 'jokowi', 'balesannya', 'cermin', 'sikap', 'ceo']",kelas ceo data 2013 bilang data 2016 bl promosi presiden jokowi balesannya cermin sikap ceo
PRESTASI yang MEMBANGGAKAN Peluncuran Pesawat Luar Angkasa Indonesia.. .. !!! .. Indonesiaku Makin SANTUY .. <hashtag> <hashtag>,PRESTASI yang MEMBANGGAKAN Peluncuran Pesawat Luar Angkasa Indonesia Indonesiaku Makin SANTUY hashtag hashtag,prestasi bangga luncur pesawat angkasa indonesia indonesia santuy hashtag hashtag,prestasi bangga luncur pesawat angkasa indonesia indonesia santuy hashtag hashtag,1,"['prestasi', 'bangga', 'luncur', 'pesawat', 'angkasa', 'indonesia', 'indonesia', 'santuy', 'hashtag', 'hashtag']","['prestasi', 'bangga', 'luncur', 'pesawat', 'angkasa', 'indonesia', 'indonesia', 'santuy', 'hashtag', 'hashtag']",prestasi bangga luncur pesawat angkasa indonesia indonesia santuy hashtag hashtag
jaga kesehatan ya bapak kasian bapak sudah tua kok masih marah-marah saja . sudah bapak dirumah saja deh istirahat . <hashtag>,jaga kesehatan ya bapak kasian bapak sudah tua kok masih marahmarah saja sudah bapak dirumah saja deh istirahat hashtag,jaga sehat ya kasi tua marahmarah rumah deh istirahat hashtag,jaga sehat ya kasih tua marahmarah rumah deh istirahat hashtag,1,"['jaga', 'sehat', 'ya', 'kasih', 'tua', 'marahmarah', 'rumah', 'deh', 'istirahat', 'hashtag']","['jaga', 'sehat', 'ya', 'kasih', 'tua', 'marahmarah', 'rumah', 'deh', 'istirahat', 'hashtag']",jaga sehat ya kasih tua marahmarah rumah deh istirahat hashtag
<username> Wow mulia sekali wanita itu memfoto ktp pacarnya agar ada backup data saat kurang uang di laundry jadi ninggal KTP,username Wow mulia sekali wanita itu memfoto ktp pacarnya agar ada backup data saat kurang uang di laundry jadi ninggal KTP,username wow mulia wanita foto ktp pacar backup data uang laundry ninggal ktp,username wow mulia wanita foto ktp pacar backup data uang laundry ninggal ktp,1,"['username', 'wow', 'mulia', 'wanita', 'foto', 'ktp', 'pacar', 'backup', 'data', 'uang', 'laundry', 'ninggal', 'ktp']","['username', 'wow', 'mulia', 'wanita', 'foto', 'ktp', 'pacar', 'backup', 'data', 'uang', 'laundry', 'ninggal', 'ktp']",username wow mulia wanita foto ktp pacar backup data uang laundry ninggal ktp
