tweet,tweet_cleaning,tweet_casefolding,normalisasi,label,tokenize,stopword removal,steming_data
saraswati pintar sekali tida belajar dari pengalaman hufffffffffffff,saraswati pintar sekali tida belajar dari pengalaman hufffffffffffff,saraswati pintar tida ajar alam hufffffffffffff,saraswati pintar tida ajar alam hufffffffffffff,1,"['saraswati', 'pintar', 'tida', 'ajar', 'alam', 'hufffffffffffff']","['saraswati', 'pintar', 'tida', 'ajar', 'alam', 'hufffffffffffff']",saraswati pintar tida ajar alam hufffffffffffff
Menag bicara sola celana cingkrang gak bisa ikut aturan keluar .. Nah lhoo <link> <hashtag>,Menag bicara sola celana cingkrang gak bisa ikut aturan keluar Nah lhoo link hashtag,menag bicara sola celana cingkrang gak atur lhoo link hashtag,menag bicara sola celana cingkrang tidak atur loh link hashtag,0,"['menag', 'bicara', 'sola', 'celana', 'cingkrang', 'tidak', 'atur', 'loh', 'link', 'hashtag']","['menag', 'bicara', 'sola', 'celana', 'cingkrang', 'atur', 'loh', 'link', 'hashtag']",menag bicara sola celana cingkrang atur loh link hashtag
Koruptor dihukum berat bukannya dikasih keringanan <hashtag>,Koruptor dihukum berat bukannya dikasih keringanan hashtag,koruptor hukum berat kasih ringan hashtag,koruptor hukum berat kasih ringan hashtag,0,"['koruptor', 'hukum', 'berat', 'kasih', 'ringan', 'hashtag']","['koruptor', 'hukum', 'berat', 'kasih', 'ringan', 'hashtag']",koruptor hukum berat kasih ringan hashtag
Belum jadi pemimpin udah bikin hoax gmn kalau diberi jabatan ?? Bisa lebih parah,Belum jadi pemimpin udah bikin hoax gmn kalau diberi jabatan Bisa lebih parah,pimpin udah bikin hoax gmn jabat parah,pimpin sudah bikin hoax bagaimana jabat parah,0,"['pimpin', 'sudah', 'bikin', 'hoax', 'bagaimana', 'jabat', 'parah']","['pimpin', 'bikin', 'hoax', 'jabat', 'parah']",pimpin bikin hoax jabat parah
Karena JUJUR membuatku malu dan merasa bersalah . Itulah kenapa JKW sulit melakukannya.,Karena JUJUR membuatku malu dan merasa bersalah Itulah kenapa JKW sulit melakukannya,jujur buat malu salah jkw sulit laku,jujur buat malu salah jkw sulit laku,1,"['jujur', 'buat', 'malu', 'salah', 'jkw', 'sulit', 'laku']","['jujur', 'malu', 'salah', 'jkw', 'sulit', 'laku']",jujur malu salah jkw sulit laku
Oi tolong lah itu yg pada demo suruh pulang . <hashtag> <hashtag> <hashtag>,Oi tolong lah itu yg pada demo suruh pulang hashtag hashtag hashtag,oi tolong yg demo suruh pulang hashtag hashtag hashtag,oi tolong yang demo suruh pulang hashtag hashtag hashtag,0,"['oi', 'tolong', 'yang', 'demo', 'suruh', 'pulang', 'hashtag', 'hashtag', 'hashtag']","['oi', 'tolong', 'demo', 'suruh', 'pulang', 'hashtag', 'hashtag', 'hashtag']",oi tolong demo suruh pulang hashtag hashtag hashtag
Astagfirullah Medina Zein make narkoba ..saya tidak kaget make narkoba nya saya kaget karena saya tidak tahu siapa pula Medina Zein,Astagfirullah Medina Zein make narkoba saya tidak kaget make narkoba nya saya kaget karena saya tidak tahu siapa pula Medina Zein,astagfirullah medina zein make narkoba kaget make narkoba nya kaget medina zein,astagfirullah medina zein memakai narkoba kaget memakai narkoba ya kaget medina zein,1,"['astagfirullah', 'medina', 'zein', 'memakai', 'narkoba', 'kaget', 'memakai', 'narkoba', 'ya', 'kaget', 'medina', 'zein']","['astagfirullah', 'medina', 'zein', 'memakai', 'narkoba', 'kaget', 'memakai', 'narkoba', 'ya', 'kaget', 'medina', 'zein']",astagfirullah medina zein pakai narkoba kaget pakai narkoba ya kaget medina zein
bapak ngantornya di jalan tol saja bapak .. Balaikota yang bikin bukan masa pemerintahan jokowi lho bapak .. :D :D,bapak ngantornya di jalan tol saja bapak Balaikota yang bikin bukan masa pemerintahan jokowi lho bapak D D,ngantornya jalan tol balaikota bikin perintah jokowi lho d d,ngantornya jalan tol balaikota bikin perintah jokowi lho di di,1,"['ngantornya', 'jalan', 'tol', 'balaikota', 'bikin', 'perintah', 'jokowi', 'lho', 'di', 'di']","['ngantornya', 'jalan', 'tol', 'balaikota', 'bikin', 'perintah', 'jokowi', 'lho']",ngantornya jalan tol balaikota bikin perintah jokowi lho
<username> Tolong dong bapakÂ² DPR kasih kuliah khusus dulu buat Menag ini biar tidak bikin ribut mulu .,username Tolong dong bapakÂ² DPR kasih kuliah khusus dulu buat Menag ini biar tidak bikin ribut mulu,username tolong bapak dpr kasih kuliah khusus menag biar bikin ribut mulu,username tolong bapak dpr kasih kuliah khusus menag biar bikin ribut mulu,1,"['username', 'tolong', 'bapak', 'dpr', 'kasih', 'kuliah', 'khusus', 'menag', 'biar', 'bikin', 'ribut', 'mulu']","['username', 'tolong', 'dpr', 'kasih', 'kuliah', 'khusus', 'menag', 'biar', 'bikin', 'ribut', 'mulu']",username tolong dpr kasih kuliah khusus menag biar bikin ribut mulu
Ah tolol Ã¢Å¡ Ã¢Å¡ Ã¢Å¡ Ã¢Å¡ Ã¢Å¡ Ã¢Å¡ Ã¢Å¡ Ã¢Å¡ Ã¢Å¡ <link>,Ah tolol ÃÅ ÃÅ ÃÅ ÃÅ ÃÅ ÃÅ ÃÅ ÃÅ ÃÅ link,ah tolol          link,ah tolol link,0,"['ah', 'tolol', 'link']","['ah', 'tolol', 'link']",ah tolol link
