steming_data,Sentiment
menteri didik dasar abdul muti tanggap temu institute for development of economics and finance indef 4000 siswa lapor korban racun makan gizi gratis mbak delapan peristiwa anakanak racun mudahmudahan bahan evaluasi muti jumat 592025 muti mbak jalan sesuai arah presiden prabowo sempurna tingkat tahap,Positif
kapolsek tanah putih tanjung lawan ipda bonni ferdy sagalashmh monitoring makan gizi gratis mbak smpn 1 tanah putih tanjung lawan camat korwil penghulu kepsek salampresisi polisiindonesia mbak fyp jangkauanluas semuaorang sorot,Negatif
kapolsek tptm forkopimcam pantau distribusi makan gizi gratis smpn 1 riauaktualcomnewsdetail1 salampresisi polisiindonesia mbak fyp jangkauanluas semuaorang sorot,Positif
kapolsek tanah putih tanjung lawan ipda bonni ferdy sagalashmh monitoring makan gizi gratis mbak smpn 1 tanah putih tanjung lawan camat korwil penghulu kepsek salampresisi polisiindonesia mbak fyp jangkauanluas semuaorang sorot,Negatif
prabowogibran peduli rakyat program makan gizi gratis makanbergizigratis,Positif
makan gizi gratis komitmen prabowogibran cipta sehat makanbergizigratis,Positif
prabowogibran wujud bangsa kuat program makan gizi gratis makanbergizigratis,Positif
makan gizi gratis prabowogibran harap anak indonesia cerah makanbergizigratis,Netral
program makan gizi gratis bukti nyata perhati prabowogibran rakyat makanbergizigratis,Netral
generasi emas 2045 makan gizi gratis prabowogibran makanbergizigratis,Netral
makan gizi gratis langkah nyata prabowogibran rang stunting anak makanbergizigratis,Netral
prabowogibran hadir makan gizi gratis generasi sehat kuat makanbergizigratis,Netral
program makan gizi gratis wujud peduli prabowogibran bangsa makanbergizigratis,Positif
program makan gizi gratis mbak niat mulia bantu gizi anak sekolah jalan ribu siswa racun alarm serius abai,Netral
dukung penuh program makan gizi gratis mbak,Positif
program mbak outputnya tahi anjirrrrr,Negatif
sumpah mending mbak udahin deh akuin jalan gakpp erti sayang anggar dibenerin butuh anggar kes cuman ngedepanin ego biar daper validasi kasihan,Positif
heran 10 demonstran tinggal anggap rakyat indonesia heran 1000 racun mbak anggap ajar heran juta anggur anggap masyarakat buku development as freedom 1999 negara seringkali kritik rakyat miskin tindas anggap wakil masyarakat lapar bencana alam gagal politik bijak publik mata negara angka statistik kertas,Negatif
nih nder dapur mbak,Netral
prabowo ya bijak mbak ya batalindihentikan alokasi dana ya bangun jalan kayak,Positif
mbak bijak gila ngambur2in duit apbn,Netral
sopo ngongkon mbak mbek ngopeni ikn cok jancok,Netral
tuju program mbak niat 82 juta siswa racun ribu januari 2025 lapor bbc tempo menu gizi evaluasi unicef sorot stunting unicef dukung pusat unggul februari 2025 kualitas butuh audit ketat efektif cobacoba moga benah,Positif
