steming_data,Sentiment
terimakasih khianat terimakasih antipati juang terimakasih dengar aspirasi saatnyaa hashtag,Negatif
raja kerathon sejagad sunda empire tolol hqq,Negatif
horeeee mantaaab laku bejat andre jebak nn seret meja hijau dukung nn hashtag,Negatif
partai allah mah bebas sajadah diinjak2 hashtag,Negatif
benci selamat pimpin orang benci selamat nikmat ketidksukaannya tunggu statusstatus salah perintah hashtag pic twitter comn3gaterfkc,Negatif
dokter beli mobil tukang parkir jaga mobil,Negatif
kelas ceo data 2013 bilang data 2016 bl promosi presiden jokowi balesannya cermin sikap ceo,Negatif
prestasi bangga luncur pesawat angkasa indonesia indonesia santuy hashtag hashtag,Negatif
jaga sehat ya kasih tua marahmarah rumah deh istirahat hashtag,Negatif
username wow mulia wanita foto ktp pacar backup data uang laundry ninggal ktp,Negatif
terima kasih username kendali banjir jakarta banjir hashtag,Negatif
username username username username perintah pintar pintar kilah pintar alesan pntar bohong pintar alibi dll,Negatif
unt indonesia bangga level demokrasi hashtag mhn maaf tinggal negara maju segani,Negatif
username mulia username notice ya wkwk,Negatif
selamat username rekor banjir januari kali banjir februari kali tahan sih doa gubernur soleh hebat salut sayawajah air mata bahagia hashtag,Negatif
cari polisi kloset otak hashtag,Negatif
salah sih suara pilih politik ya konsekuensi ya berani koreksi seolah2 netizen bodoh,Negatif
ya mas fatah nang anak laki kuasa wkwk hashtag,Negatif
istana presiden banjir janji kampanye username realisasi sedia kolam warga jakarta hashtag,Negatif
film keluarga cendana cerita keluarga kayak jatuh miskin,Negatif
indonesia cinta ku khilafah kadrun monggo negara jasa negara ngerecokin iya kadal hashtag hashtag,Negatif
hashtag asli lupa perintah mensuport mudah bisnis omong kosong kwalitas owner bl,Negatif
mimpin sholat pimpin negara situ sehat hashtag,Negatif
alhamdulillah ibukota jakarta prestasi dunia hashtag,Negatif
wht bilang 3 bangun ekonomi ngibul ih hashtag,Negatif
hukum berat belah tangkap orang bilang abb bebas kecut,Negatif
username tang anies tanah abang semrawut uang alir paham haji lulung pro anies,Negatif
jakarta lumpuh selamat selamat banjir doa wahabi kabul hashtag,Negatif
kerja dpr gerebek psk selamat gelar dpr satpol pp hashtag,Negatif
username please banding2in hasil badminton sepakbola level hahaha,Negatif
hashtag 2020 warga jekardah khusus pea heppi kecimplung berkah hashtag hashtag hashtag hashtag hashtag,Negatif
dukung mati mati salah pascol presiden dampak hidup siknifikan bacot,Negatif
mimpi hasil itjima ulama sih fadli hina ulama hina fadli ulama mbah moen niken no sanse wajib tenggelam,Negatif
salah program kerja anies perata sejahtera warga dki hashtag,Negatif
ye kawan2 hashtag ganti presiden jokowi maha salah puja puja sembah,Negatif
kamaren mngatakan antek aseng heppy2 orang asing plinpan banget sih ommm malu,Negatif
ahok pimpin bicara kasar orang bicarany kasar ktkn pimpin umat,Negatif
masril piliang meretweet jurnalis tb otak sol sepatu hashtag,Negatif
dukung hashtag,Negatif
username mantap coi jancuker sejati otak waraskoruptor anjing pelihara,Negatif
akal waras sih puas sebar hoax hoax,Negatif
surga jakrta mabuk agama nikmat diskotik username,Negatif
coba lawan alam kuat toa malu anies hashtag,Negatif
username mulia suami rela jual istri harga murah penuh butuh seharihari,Negatif
alhamdulillaaaaaah air berkah banjir anies nongol habis muncul sampah teriak solusi anies,Negatif
kokoh dukung 01 ku tau sang bahadur kau bagak lemah,Negatif
rela negara rela pakai username bilang kuasa rela,Negatif
username username username username username maksa pintar kasihan setress ujung ya deh,Negatif
jubir pintar lancar cerocos tau bos ngebantah,Negatif
hasil maksimal username salut tenggelam kota dki jakarta masyarakat antusias cari posko ngungsi hashtag,Negatif
terima kasih username tunai janji hashtag,Negatif
pidato prabohong ber apiapi isi karuan hoax belaka mimpin negara modal suara lantang doang,Negatif
nama doa tukar isi otak mu ketakar username,Negatif
anies baswedan air,Negatif
alhamdulillah mantab pilih 01 tuh sbnrnya pengin banget ngelayat orgnya mati hashtag,Negatif
wis pakde rasah ngoyo2 kerja hobby nyanyi mangkrak kanan kiri 2 periode,Negatif
sayang ulama datengin istana tembakin gas air mata,Negatif
username username hashtag tau suka teriak2 nkri pancasila dijualin jongos cina,Negatif
selamat warga dki 58 dibikinin toa mahal tinggal kasih lagu titanic pas tenggelam nyanyi hashtag,Negatif
