steming_data,Sentiment,tokenized_tweet
makan siang gratis mending,Positif,"[1, 3, 2, 43]"
bela mbak bias sekolah makan siang gratis pas jam istirahat negara terap,Positif,"[290, 9, 2113, 8, 1, 3, 2, 83, 299, 1148, 22, 492]"
anggar dituruninnya ngopernya blog ya dicicipin sih makan siang gratis,Positif,"[19, 7744, 7745, 4519, 6, 7746, 10, 1, 3, 2]"
karyawan industri cikarang makan siang jemput pagi roti sore susu uht gratis umr gede jakarta lembur bayar hitung jam bus jemput kasih uang transport rumah meeting,Positif,"[1158, 1643, 11539, 1, 3, 2094, 211, 1859, 680, 63, 5357, 2, 1221, 294, 160, 2430, 44, 533, 299, 11540, 2094, 17, 26, 2502, 76, 2175]"
ambil abang ya makan siang gratis ya abang rolek merci,Positif,"[133, 172, 6, 1, 3, 2, 6, 172, 8857, 8858]"
malas gua komentar wasit model gtuan ksi makan siang gratis ude biar racun,Negatif,"[732, 77, 323, 10719, 709, 10720, 5264, 1, 3, 2, 5265, 41, 70]"
kasih makan siang gratis girang banget,Positif,"[17, 1, 3, 2, 6242, 20]"
timur indonesia makan siang gratis butuh makan sing olok olok dar asih makan ego intelektual banding pilih prabowo sadar miskin miskin moral,Negatif,"[459, 14, 1, 3, 2, 45, 1, 985, 2984, 2984, 510, 92, 1, 1079, 3891, 103, 46, 21, 540, 66, 66, 2473]"
makan angin makan siang gratis,Positif,"[1, 1816, 1, 3, 2]"
bye makan siang gratis ya habis sakit heart,Netral,"[1901, 1, 3, 2, 6, 87, 365, 6614]"
coba podcast orang makan siang gratis ded seru,Positif,"[48, 1854, 11, 1, 3, 2, 632, 560]"
osamunya buka usaha catering makan siang gratis,Positif,"[6260, 180, 327, 340, 1, 3, 2]"
aslina om ieu ti podkes alih isu makan siang gratis tea sanes,Netral,"[10543, 202, 10544, 2513, 4608, 128, 238, 1, 3, 2, 10545, 10546]"
sekolah international makan siang gratis,Positif,"[8, 2535, 1, 3, 2]"
anggar makan siang gratis 71t btw sunat rencana 15rb kepala 10rb anggar dik,Positif,"[19, 1, 3, 2, 2131, 636, 1943, 388, 1941, 334, 244, 19, 1010]"
lucu nih makan siang gratis,Positif,"[284, 50, 1, 3, 2]"
maaf nak asih waris 1 miliar kumpul reusable thinwall box bekas nasi kuningayam katsu enak makan siang gratis,Positif,"[205, 933, 92, 1367, 55, 939, 723, 11105, 11106, 78, 1236, 30, 11107, 2058, 31, 1, 3, 2]"
serangga menu makan siang gratis wow,Positif,"[1263, 25, 1, 3, 2, 773]"
bukti program makan siang gratis akar selesai harga pangan stabil lapang kerja biar orang tua kerja makan keluarga makan siang gratis smntara mak rumah lapar,Positif,"[142, 4, 1, 3, 2, 867, 496, 49, 194, 1718, 199, 39, 41, 11, 101, 39, 1, 139, 1, 3, 2, 12310, 2857, 76, 301]"
