steming_data,label
saraswati pintar tida ajar alam hufffffffffffff,Negatif
menag bicara sola celana cingkrang atur loh link hashtag,Positif
koruptor hukum berat kasih ringan hashtag,Positif
pimpin bikin hoax jabat parah,Positif
jujur malu salah jkw sulit laku,Negatif
oi tolong demo suruh pulang hashtag hashtag hashtag,Positif
astagfirullah medina zein pakai narkoba kaget pakai narkoba ya kaget medina zein,Negatif
ngantornya jalan tol balaikota bikin perintah jokowi lho,Negatif
username tolong dpr kasih kuliah khusus menag biar bikin ribut mulu,Negatif
ah tolol link,Positif
username username nih klarifikasi ya lem aibon cc username username username username username,Positif
username anak pintar mak ya tolol nih,Positif
selamat nikmat berkah warge jakarte terimakasih juge ame username hashtag oke tuh wkwkwkwkwkw aye mah ogah banjir biar negara utang aye bayar,Negatif
samyang ya indomie hashtag,Positif
maaf rendah hati amp maaf wenang mutlak aneh pimpin lemah hashtag hashtag hashtag username username,Positif
welcome indonesia orang lengah malu sangka bahan dunia dosa hei dosa beda ladang dosa,Negatif
untung ane mahasiswa monyet malu banget mahasiswa,Negatif
mantap mas dengar omong haters ya optimis percaya,Positif
terima kasih tani wkwk hashtag,Positif
fifa perhati khusus sepak bola papua link link hashtag hashtag hashtag hashtag hashtag hashtag,Positif
sokaps nih hashtag hashtag hashtag hashtag link,Positif
pengin dengar tanggap abang pandji nih ayok bikin video abang betapa lucu negeri username hashtag,Negatif
username username mari rang hashtag,Positif
username alhamdulilah jakarta gubernur santuy rendah hati ustad aa gym ayo lanjutken 3 periode,Negatif
3 mantan ceo menteri jokowi link hashtag hashtag hashtag,Positif
username aku ustadz croshijaber ya sony sontoloyo,Positif
omong people power kemarin bicara polisi pki sore username konpers konstitusional orang belah percaya hashtag hashtag hashtag,Positif
orang indonesia sopansopan banget ya nyapres misi,Positif
username kepala kau sholehmati kau bodoh emosi indonesia kau eee hashtag,Negatif
username username ajar yuk ngopi deh,Positif
gaji pramugari sekian 15 jtan tampil sosialita salah nilai anggap gundik,Positif
kali atmosfir debat capres indonesia kalah atmosfir final bola piala dunia jancok hashtag hashtag,Negatif
malu hashtag,Positif
welcome indonesia diversity lihat valentine mampus mati,Negatif
semangat gaesss adrk siaga hashtag,Positif
sosialita banget gaya nak link,Positif
